year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,6,CO,RNCDF04,UDFTAG44,170,0,16.48,1536,9.47,,,,1536,29.85,,,
2017,6,MG,RNCMG02,UMGNVL13,170,0,1.83,1536,0.86,,,,,,,,
2017,6,MG,RNCMG06,UMGCNS02,170,0,1.15,1536,0.56,,,,1536,1.99,,,
2017,6,CO,RNCAC01,UACRBO07,580,0,4.2,1536,8.16,,,,1536,26.75,,,
2017,6,CO,RNCMS03,UMSCPE27,170,0,42.04,1536,18.68,,,,1536,49.83,,,
2017,6,NE,RNCPB01,UPBTAB15,100,0,13.45,1024,6.42,,,,768,23.73,,,
2017,6,ES,RNCES01,UESVVE18,170,0,4.77,1536,2.34,,,,,,,,
2017,6,PRSC,RNCSC02,USCSFS02,170,0,3.62,1536,1.82,,,,,,,,
2017,6,ES,RNCES01,UESVVE06,170,0,9.28,1536,5.08,,,,1536,14.13,,,
2017,6,BASE,RNCBA01,UBAPGU08,170,0,5.61,1536,3.19,,,,1536,12.13,,,
2017,6,PRSC,RNCPR02,NS01PRAUC01,,0,0,,,,,,,,,,
2017,6,CO,RNCGO04,UGOGNA2S,170,0,24.92,1536,10.85,,,,1536,34.19,,,
2017,6,PRSC,RNCPR03,UPRWBZ01,900,0,0.15,2304,0.27,,,,1536,1.54,,,
2017,6,ES,RNCES01,NS01ESJNV01,,0,0,,,,,,,,,,
2017,6,MG,RNCMG01,UMGSAVS1,170,0,5.25,1536,2.08,,,,1536,6.6,,,
2017,6,MG,RNCMG04,UMGSCK01,900,0,1.21,2304,2.1,,,,1536,10.61,,,
2017,6,BASE,RNCBA02,UBACZM02,1020,286.2,3.22,3072,5.72,,,,2304,19.26,,,
2017,6,BASE,RNCBA01,UBAEUS05,,0,0,,,,,,,,,,
2017,6,NE,RNCPI02,NS01PIFLO05,,269.8,0,,,,,,,,,,
2017,6,MG,RNCMG02,UMGSZD01,170,0,3.94,1536,2.12,,,,1536,8.6,,,
