baseline_date,datetime,id,get_enodeb_name,element_id,mo,parameter,baseline,configured,mml,golden,status
2017-11-23,2017-11-21 22:02:04,enodeb_baseline,ESMSAM94,0,CELLALGOSWITCH,CQIADJALGOSWITCH,DLCQIADJDELTAOPTSWITCH-1,ADAPTIVESTEPVARYSWITCH-0&BUNDLINGOPTTHDSWITCH-0&CFICONVERTOPTSWITCH-0&CFICONVERTWIDRSSWITCH-0&CQIADJALGOSWITCH-1&CQIADJTIMEEFFSWITCH-0&CQIFASTCOMPSTSWITCH-0&CQIFLTOPTSWITCH-0&DLCQIADJDELTAOPTSWITCH-0&DLENVARIBLERTARGETSWITCH-0&DLRETXTBSINDEXADJOPTSWITCH-1&DLSPSMCSINCREASESWITCH-0&DLVARIBLERTARGETSWITCH-0&IBLERCQIOFFSETSWITCH-0&PILOTOFFCQIADJOPTSWITCH-0&PRECISEMCSADAPTSWITCH-0&RPTCQIFLTINITSWITCH-0&STEPVARYSWITCH-0&TDDBUNDLINGCQIADJOPTSWITCH-0&TDDMULTIPLEXINGCQIADJOPTSWITCH-0&UESIGINITCQIMODSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=0,CQIADJALGOSWITCH=DlCqiAdjDeltaOptSwitch-1;{IMP_ES01SMSAM94}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,4,CELLALGOSWITCH,CQIADJALGOSWITCH,DLCQIADJDELTAOPTSWITCH-1,ADAPTIVESTEPVARYSWITCH-0&BUNDLINGOPTTHDSWITCH-0&CFICONVERTOPTSWITCH-0&CQIADJALGOSWITCH-1&DLCQIADJDELTAOPTSWITCH-0&DLENVARIBLERTARGETSWITCH-0&DLRETXTBSINDEXADJOPTSWITCH-0&DLVARIBLERTARGETSWITCH-0&STEPVARYSWITCH-0&TDDBUNDLINGCQIADJOPTSWITCH-0&TDDMULTIPLEXINGCQIADJOPTSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=4,CQIADJALGOSWITCH=DlCqiAdjDeltaOptSwitch-1;{S01BAFSA35}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,5,CELLALGOSWITCH,CQIADJALGOSWITCH,DLCQIADJDELTAOPTSWITCH-1,ADAPTIVESTEPVARYSWITCH-0&BUNDLINGOPTTHDSWITCH-0&CFICONVERTOPTSWITCH-0&CQIADJALGOSWITCH-1&DLCQIADJDELTAOPTSWITCH-0&DLENVARIBLERTARGETSWITCH-0&DLRETXTBSINDEXADJOPTSWITCH-0&DLVARIBLERTARGETSWITCH-0&STEPVARYSWITCH-0&TDDBUNDLINGCQIADJOPTSWITCH-0&TDDMULTIPLEXINGCQIADJOPTSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=5,CQIADJALGOSWITCH=DlCqiAdjDeltaOptSwitch-1;{S01BAFSA35}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,6,CELLALGOSWITCH,CQIADJALGOSWITCH,DLCQIADJDELTAOPTSWITCH-1,ADAPTIVESTEPVARYSWITCH-0&BUNDLINGOPTTHDSWITCH-0&CFICONVERTOPTSWITCH-0&CQIADJALGOSWITCH-1&DLCQIADJDELTAOPTSWITCH-0&DLENVARIBLERTARGETSWITCH-0&DLRETXTBSINDEXADJOPTSWITCH-0&DLVARIBLERTARGETSWITCH-0&STEPVARYSWITCH-0&TDDBUNDLINGCQIADJOPTSWITCH-0&TDDMULTIPLEXINGCQIADJOPTSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=6,CQIADJALGOSWITCH=DlCqiAdjDeltaOptSwitch-1;{S01BAFSA35}",f,NOK
2017-11-23,2017-11-22 22:01:29,enodeb_baseline,EDF0009S,0,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,," MOD CELLALGOSWITCH:LocalCELLID=0,INTERFRANDSWITCH=ENB_BASED;{EDF0009S}",t,NOK
2017-11-23,2017-11-22 21:57:46,enodeb_baseline,EGO0014S,0,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,," MOD CELLALGOSWITCH:LocalCELLID=0,INTERFRANDSWITCH=ENB_BASED;{EGO0014S}",t,NOK
2017-11-23,2017-11-22 21:57:46,enodeb_baseline,EMS0002S,0,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,," MOD CELLALGOSWITCH:LocalCELLID=0,INTERFRANDSWITCH=ENB_BASED;{EMS0002S}",t,NOK
2017-11-23,2017-11-22 21:38:05,enodeb_baseline,EESSER20,4,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=4,INTERFRANDSWITCH=ENB_BASED;{ES01ESSER20}",t,NOK
2017-11-23,2017-11-22 21:38:05,enodeb_baseline,EESSER20,5,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=5,INTERFRANDSWITCH=ENB_BASED;{ES01ESSER20}",t,NOK
2017-11-23,2017-11-22 21:38:05,enodeb_baseline,EESSER20,6,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=6,INTERFRANDSWITCH=ENB_BASED;{ES01ESSER20}",t,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,4,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=4,INTERFRANDSWITCH=ENB_BASED;{S01BAFSA35}",t,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,5,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=5,INTERFRANDSWITCH=ENB_BASED;{S01BAFSA35}",t,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,6,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=6,INTERFRANDSWITCH=ENB_BASED;{S01BAFSA35}",t,NOK
2017-11-23,2017-11-22 21:26:10,enodeb_baseline,EMGPLE01,4,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=4,INTERFRANDSWITCH=ENB_BASED;{S01MGPLE01}",t,NOK
2017-11-23,2017-11-22 21:26:10,enodeb_baseline,EMGPLE01,5,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=5,INTERFRANDSWITCH=ENB_BASED;{S01MGPLE01}",t,NOK
2017-11-23,2017-11-22 21:26:10,enodeb_baseline,EMGPLE01,6,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=6,INTERFRANDSWITCH=ENB_BASED;{S01MGPLE01}",t,NOK
2017-11-23,2017-11-22 21:51:10,enodeb_baseline,EPEARR03,8,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=8,INTERFRANDSWITCH=ENB_BASED;{S01PEARR03}",t,NOK
