year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,3,MG,RNCMG01,UMGSAVI1,100,0,0.94,768,0.72,,,,576,3.87,,,
2017,3,CO,RNCRO01,UROPVO45,1100,0,6.67,3072,10.53,,,,2048,45.96,,,
2017,3,PRSC,RNCPR03,UPRLDA46,580,0,0.55,1536,0.75,,,,1536,2.96,,,
2017,3,MG,RNCMG01,UMGSAV20,170,0,10.94,1536,5.53,,,,1536,16.77,,,
2017,3,CO,RNCTO01,UTOPXE01,700,0,0.81,1536,2.48,,,,1024,16.06,,,
2017,3,PRSC,RNCSC01,USCBGC01,,,,1536,1.73,,,,1536,5.82,,,
2017,3,NE,RNCPI02,UPITER25,740,6.8,13.85,2304,22.71,,,,2048,65.72,,,
2017,3,ES,RNCES01,UESVIT05,940,0,2.04,3072,2.24,,,,2560,9.12,,,
2017,3,NE,RNCPI02,UPICPO01,170,87.8,67.53,1536,30.2,,,,1536,79.91,,,
2017,3,CO,RNCMT02,UMTCBA77,900,0,6.59,2304,12.26,,,,1536,54.83,,,
2017,3,NE,RNCPB01,UPBCGE33,170,0,6.57,1536,3.34,,,,1536,11.08,,,
2017,3,PRSC,RNCPR01,UPRCCJ30,170,0,6.35,1536,2.94,,,,1536,10.4,,,
2017,3,CO,RNCDF02,UDFTAG37,880,0,4.43,2688,6.47,,,,2176,28.12,,,
2017,3,NE,RNCRN01,URNSMU01,900,0,1.92,2304,3.63,,,,1536,17.19,,,
2017,3,MG,RNCMG06,UMGPTC05,170,0,2.4,1536,1.13,,,,1536,3.64,,,
2017,3,CO,RNCRO01,UROAAP01,700,0,1.99,1536,5.54,,,,1024,30.97,,,
2017,3,MG,RNCMG06,UMGULA51,120,0,4.06,768,3.02,,,,768,9.79,,,
2017,3,ES,RNCES01,UESVVE17,170,0,6.8,1536,3.34,,,,1536,10.5,,,
2017,3,BASE,RNCBA05,UBASMF09,120,0,4.39,768,2.81,,,,768,8.19,,,
2017,3,MG,RNCMG06,UMGPEE01,120,0,1.33,768,1.01,,,,768,4.25,,,
2017,3,NE,RNCCE02,UCESGA01,1100,0,4.36,3072,8.67,,,,2048,46.93,,,
2017,3,CO,RNCDF03,UDFGMA06,700,0,17.47,2304,21.77,,,,2304,61.13,,,
2017,3,CO,RNCTO01,UTOCTN01,700,0,0.6,1536,1.5,,,,1024,9.91,,,
2017,3,CO,RNCDF04,UDFTAGA4,170,0,47.98,1536,17.36,,,,1536,47.32,,,
2017,3,NE,RNCAL01,UALMHD02,960,0,3.24,2688,7.24,,,,1920,36.76,,,
2017,3,NE,RNCCE02,WCEPJS01,740,0,6.32,2304,9.89,,,,2048,35.42,,,
2017,3,CO,RNCGO05,UGOCZK01,900,0,1.34,2304,2.58,,,,1536,15.67,,,
2017,3,NE,RNCPI02,UPIVPI91,700,0,0.28,1536,1.05,,,,1024,2.48,,,
2017,3,CO,RNCTO01,UTOARN17,940,0,5.14,3072,10.75,,,,2560,39.55,,,
2017,3,MG,RNCMG03,UMGMCL14,170,0,1.9,1536,1.09,,,,1536,3.8,,,
2017,3,NE,RNCAL01,UALTNV02,170,0,37.26,1536,21.93,,,,1536,53.46,,,
2017,3,CO,RNCRO01,UROPVO57,700,0,10.16,2304,14,,,,2304,38.95,,,
2017,3,CO,RNCGO05,UGOPIH01,170,0,1.81,1536,1.07,,,,1536,4.23,,,
2017,3,BASE,RNCBA01,UBAEUS02,940,0,3.8,3072,4.81,,,,2560,17.4,,,
2017,3,PRSC,RNCPR05,UPRFOZ28,100,0,4.65,768,2.42,,,,576,10.14,,,
2017,3,BASE,RNCBA05,UBAAMA38,170,0,14.84,1536,6.78,,,,1536,20.08,,,
2017,3,ES,RNCES01,UESVVE09,170,0,4.86,1536,2.56,,,,1536,8.03,,,
2017,3,MG,RNCMG06,UMGARX09,170,0,2.18,1536,0.99,,,,,,,,
2017,3,CO,RNCTO01,UTOARN10,170,0,23.81,1536,12.72,,,,,,,,
2017,3,NE,RNCCE02,UCEAER13,170,0,9.38,1536,3.9,,,,1536,14.08,,,
2017,3,CO,RNCDF04,UDFSQNI4,170,0,15.5,1536,8.34,,,,1536,26.27,,,
2017,3,CO,RNCMT02,UMTCBA27,1080,0,5.42,3456,7.98,,,,2688,31.15,,,
2017,3,MG,RNCMG06,UMGSJU01,120,0,4.26,768,4.09,,,,768,16.51,,,
2017,3,NE,RNCPE04,UPEBOV23,170,0,9.56,1536,4.86,,,,1536,11.84,,,
2017,3,PRSC,RNCPR02,UPRSJP06,900,0.2,1.65,2304,3.13,,,,1536,11.79,,,
2017,3,NE,RNCRN01,URNPNG05,170,0,17.57,1536,7.46,,,,1536,21.03,,,
2017,3,NE,RNCPE04,UPESNH01,900,0,3.38,2304,8.1,,,,1536,35.91,,,
2017,3,NE,RNCCE02,UCEUUO01,900,0,0.94,2304,2.89,,,,1536,14.15,,,
2017,3,CO,RNCMS03,UMSPPR09,170,0,0,1536,0,,,,,,,,
2017,3,CO,RNCTO01,UTOSMG01,700,0,0.76,1536,1.84,,,,1024,11.77,,,
2017,3,NE,RNCCE02,UCEQXM04,1100,0,2.22,3072,3.94,,,,2048,16.38,,,
2017,3,PRSC,RNCPR03,UPRLDA01,170,0,4.28,1536,1.84,,,,1536,5.92,,,
2017,3,NE,RNCPE04,UPETTA03,740,15,3.98,2304,7.63,,,,2048,24.13,,,
2017,3,PRSC,RNCPR01,UPRCPH14,170,0,6.19,1536,2.72,,,,1536,8.28,,,
2017,3,NE,RNCCE02,UCEAUR01,170,0,6.96,2304,4.27,,,,1536,24.71,,,
2017,3,PRSC,RNCSC01,USCKPO01,900,0,0.25,2304,0.39,,,,,,,,
2017,3,CO,RNCGO04,UGOGNA4C,900,0,10.44,2304,17.07,,,,1536,73.49,,,
2017,3,MG,RNCMG05,UMGELM01,170,0,2.96,1536,1.68,,,,1536,6.09,,,
2017,3,PRSC,RNCSC01,USCIUP01,900,0,2.45,2304,4.75,,,,1536,21.39,,,
2017,3,CO,RNCMT02,UMTNVM01,900,0,1.64,2304,3.78,,,,1536,22.48,,,
2017,3,NE,RNCCE02,UCEBAEI2,,0,0,,,,,,,,,,
2017,3,BASE,RNCBA01,UBAEUS09,170,0,21.64,1152,16.26,,,,1152,48.72,,,
2017,3,PRSC,RNCSC02,USCPEN01,900,0,5.85,2304,8.71,,,,1536,41.9,,,
2017,3,MG,RNCMG06,UMGULA34,120,0,4.58,768,3.54,,,,768,9.5,,,
2017,3,NE,RNCAL01,WALCAS05,100,0,4.21,1024,2.07,,,,768,11.08,,,
2017,3,PRSC,RNCPR01,UPRCSF14,100,0,6.27,1024,2.6,,,,768,10.01,,,
2017,3,BASE,RNCBA05,UBAAMA20,170,0,10.47,2688,2.62,,,,1920,11.12,,,
2017,3,CO,RNCDF04,UDFTAG01,560,0,6.06,1152,12.29,,,,896,48.81,,,
2017,3,CO,RNCTO01,UTOTAQ04,900,0,1.45,2304,3.01,,,,1536,16.38,,,
2017,3,CO,RNCDF04,UDFSQN94,1100,135.4,11.41,3072,23.7,,,,2048,62.42,,,
2017,3,NE,RNCRN01,WRNPTG07,100,0,8.77,1024,4.33,,,,768,21.61,,,
2017,3,NE,RNCRN01,URNALC01,960,0,3.33,2304,5.65,,,,1536,25.35,,,
2017,3,CO,RNCDF04,UDFSQN44,580,0,10.3,1536,14.94,,,,1536,47.56,,,
2017,3,NE,RNCCE02,UCEPAR23,170,0,12.21,1536,5.81,,,,1536,18.62,,,
2017,3,CO,RNCDF02,UGOALS06,900,0,9.84,2304,14.35,,,,1536,61.22,,,
2017,3,NE,RNCCE02,UCEJNE10,170,0,7.74,1536,4.23,,,,1536,14.46,,,
