year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,4,MG,RNCMG03,UMGMCL13,100,0,4.29,768,3.31,,,,576,19.44,,,
2017,4,CO,RNCDF03,UDFGMA12,940,0,3.9,3072,5.33,,,,2560,22.09,,,
2017,4,NE,RNCPE04,UPEBOV36,170,0,7.85,3072,2.16,,,,2560,7.03,,,
2017,4,NE,RNCPE04,UPECRU22,170,0,12.94,1536,7.01,,,,1536,16.89,,,
2017,4,NE,RNCAL01,UALCLI17,170,0,6.73,1536,3.61,,,,1536,11.43,,,
2017,4,BASE,RNCBA02,UBAIIP01,900,0,2.08,2304,4.64,,,,1536,24.21,,,
2017,4,NE,RNCPB01,UPBCGE09,900,0,1.56,2304,2.81,,,,1536,13.14,,,
2017,4,MG,RNCMG03,UMGPPA01,170,0,23.97,1536,14.38,,,,1536,51,,,
2017,4,PRSC,RNCSC01,USCSOO06,170,0,7.51,1536,3.99,,,,1536,13.64,,,
2017,4,NE,RNCPE04,UPEPUI03,100,0,15.93,1024,8.57,,,,768,34.28,,,
2017,4,BASE,RNCBA04,UBAFSA23,170,0,23.1,1536,11.6,,,,1536,32.62,,,
2017,4,NE,RNCPI02,UPIBTS01,740,0,7.23,2304,14.09,,,,2048,38.35,,,
2017,4,MG,RNCMG01,UMGCEN15,170,0,9.09,1536,4.21,,,,1536,14.15,,,
2017,4,BASE,RNCBA01,UBAILH05,100,0,6.16,768,4.91,,,,576,24.17,,,
2017,4,NE,RNCRN01,URNPIM05,170,0,22.39,3072,4.88,,,,2560,16.06,,,
2017,4,NE,RNCRN01,URNTUL01,1100,0,3.02,3072,6.35,,,,2048,38.04,,,
2017,4,CO,RNCGO05,UGOSMQ01,900,0,1.22,2304,3.08,,,,1536,16.01,,,
2017,4,CO,RNCMS03,UMSTRN01,900,0,2.63,2304,4.44,,,,1536,24.17,,,
2017,4,MG,RNCMG06,UMGULA28,120,0,4.55,768,2.68,,,,768,8.66,,,
2017,4,CO,RNCMT02,UMTVAZ41,900,0,2.81,2304,4.76,,,,1536,25.26,,,
2017,4,NE,RNCPB01,WPBTAB22,80,0,2.79,512,2.7,,,,,,,,
2017,4,CO,RNCTO01,UTOAIO01,700,0,1.4,1536,3.84,,,,1024,20.52,,,
2017,4,MG,RNCMG02,UMGCGH01,170,0,9.61,1536,5.88,,,,1536,21.28,,,
2017,4,BASE,RNCBA05,UBABON08,170,0,11.44,1536,4.27,,,,1536,13.3,,,
2017,4,NE,RNCAL01,UALSJJ01,700,0,1.71,1536,3.66,,,,1024,13.45,,,
2017,4,MG,RNCMG06,UMGULA22,120,0,10.99,768,6.87,,,,768,20.92,,,
2017,4,CO,RNCGO05,UGOANS25,940,0,6.25,3072,8.73,,,,,,,,
2017,4,NE,RNCCE02,UCEPAC02,170,0,10.97,1536,5.99,,,,1536,18.11,,,
2017,4,NE,RNCPE04,UPEISS90,120,0,4.44,768,5.24,,,,768,16,,,
