year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,5,CO,RNCTO01,UTOPMJ02,170,0,59.74,1536,37.75,,,,1536,60.99,,,
2017,5,CO,RNCGO04,UGOGNA76,1100,0,6.19,3072,10.11,,,,2048,48.08,,,
2017,5,ES,RNCES01,UESVIT34,100,0,2.41,768,1.59,,,,576,7.91,,,
2017,5,ES,RNCES01,UESCAR01,170,0,6.12,1536,2.85,,,,1536,9.96,,,
2017,5,NE,RNCAL01,UALMZC03,900,0,4.09,2304,13.42,,,,1536,33.54,,,
2017,5,NE,RNCRN01,URNLNV01,900,0,0.65,2304,0.9,,,,1536,4.08,,,
2017,5,MG,RNCMG02,UMGOUP05,170,0,9.71,1536,5.32,,,,1536,15.6,,,
2017,5,MG,RNCMG01,UMGBEL16,170,0,5.08,1536,3.12,,,,1536,7.51,,,
2017,5,BASE,RNCBA05,UBACENI1,100,0,2.55,768,2.05,,,,576,10.5,,,
2017,5,PRSC,RNCPR01,UPRCCJ23,900,0,0.68,2304,0.92,,,,1536,3.94,,,
2017,5,PRSC,RNCPR05,UPRFNB01,170,0,15.96,1536,6.42,,,,1536,20.04,,,
2017,5,MG,RNCMG02,UMGSDP01,170,0,1.14,1536,0.54,,,,1536,1.76,,,
2017,5,CO,RNCMT02,NS01MTSNO12,,0,0,,,,,,,,,,
2017,5,MG,RNCMG02,UMGDQM02,900,0,0.7,2304,1.99,,,,,,,,
2017,5,CO,RNCDF04,UDFTAG33,900,0,5.61,2304,9.23,,,,1536,46.7,,,
2017,5,BASE,RNCBA01,UBALED01,170,0,16.07,1536,9.52,,,,1536,28.86,,,
2017,5,PRSC,RNCPR03,UPRLDA11,100,0,7.72,768,4.35,,,,576,19.3,,,
2017,5,CO,RNCDF04,UDFSOB07,1100,0,6.74,3072,12.31,,,,2048,54.47,,,
2017,5,NE,RNCPE04,UPEBOVI2,170,0,13.7,1536,8.28,,,,1536,26.13,,,
2017,5,PRSC,RNCPR01,UPRCCJ08,170,0,11.96,1536,4.28,,,,1536,14.04,,,
2017,5,PRSC,RNCPR02,UPRPIS01,900,0,0.65,2304,1.59,,,,1536,10.76,,,
2017,5,CO,RNCTO01,UTOSSG01,700,0,0.4,1536,0.99,,,,1024,6.93,,,
2017,5,NE,RNCPE04,NS01PEOUI03,,0,0,,,,,,,,,,
2017,5,MG,RNCMG06,UMGURA11,120,0,13.13,768,7.04,,,,,,,,
2017,5,NE,RNCPE04,UPEJBO05,100,0,5.9,768,4.11,,,,576,16.76,,,
2017,5,CO,RNCDF03,UGOVPI01,900,0,7.34,2304,11.2,,,,1536,51.63,,,
2017,5,MG,RNCMG04,UMGCTS03,120,61,8.73,768,6.57,,,,768,20.66,,,
2017,5,MG,RNCMG01,UMGBEL14,170,0,9.19,1536,5.04,,,,1536,16.3,,,
2017,5,BASE,RNCBA04,UBAMLG01,170,0,6.68,1536,3.88,,,,1536,10.32,,,
2017,5,CO,RNCMS03,UMSTLS01,580,230.75,5.6,1536,9.49,,,,1536,19.85,,,
2017,5,MG,RNCMG02,UMGNVL11,900,0,0.67,2304,1.09,,,,1536,5.61,,,
