"week";"cellname";"REGIONAL";"count";"covered_sites"
14;"UMGMCL08K";"MG";2;"UMGMCL07,UMGMCL22"
7;"UGOSLB01C";"CO";1;"UGOSLB04"
11;"UMTCBA77A";"CO";2;"UMTCBA70,UMTCBAA1"
14;"UESVIT201";"ES";1;"UESVIT29"
10;"UMSCPE66J";"CO";1;"UMSCPE05"
14;"UPRSJP04F";"PRSC";1;"UPRSJP12"
12;"UGOTDA12F";"CO";2;"UGOTDA04,UGOTDA07"
8;"UGOGNA76E";"CO";16;"UGOGNA0C,UGOGNA1E,UGOGNA1P,UGOGNA2Y,UGOGNA30,UGOGNA32,UGOGNA33,UGOGNA58,UGOGNA62,UGOGNA65,UGOGNA68,UGOGNA93,UGOGNAB0,UGOGNAB7,UGOGNAC0,WGOGNA33"
12;"UGOIUS02J";"CO";1;"UGOIUS04"
7;"UCEAER17F";"NE";5;"CCEAERI2,KCEAERI2,UCEAERI2,UCECOW08,WCEAERI2"
10;"UBALFS01A";"BASE";2;"UBALFS11,UBALFS20"
13;"UGOIUB04K";"CO";1;"UGOIUB15"
7;"UPITER98K";"NE";1;"UPITER41"
9;"UPRMGA20E";"PRSC";2;"UPRMGA18,UPRMGA24"
8;"UPRCBX06C";"PRSC";2;"UPRATT02,UPRATT04"
13;"UCECUC10B";"NE";1;"UCECUC08"
6;"UDFSOB16A";"CO";1;"UDFSOB10"
11;"UDFSQS20B";"CO";1;"UDFSQS75"
6;"UPECBOR1G";"NE";2;"UPECBOR7,WPECBOR7"
13;"UGOACG57B";"CO";1;"UGOACG02"
10;"UPRPGO21C";"PRSC";4;"UPRPGO13,UPRPGO14,UPRPGO19,UPRPGO20"
6;"UMTCBA13I";"CO";1;"UMTCBA46"
14;"UPRRLA02C";"PRSC";1;"UPRRLA03"
7;"UESGUP02K";"ES";1;"UESGUP09"
6;"UPRQBS01G";"PRSC";9;"UPRCBX01,UPRCBX02,UPRCBX03,UPRCBX07,UPRCBX09,UPRCBXR1,UPRPNS01,UPRPNS05,UPRPNS06"
10;"URNNSF01O";"NE";1;"URNSII04"
13;"UBAITA09J";"BASE";3;"UBAITA11,UBAITA13,UBAITA16"
9;"UPECRU16F";"NE";5;"UPECRU05,UPECRU13,UPECRU21,UPECRU40,UPECRUI1"
8;"UDFCOW10F";"CO";17;"UDFCOW02,UDFCOW06,UDFCOW07,UDFCOW08,UDFCOW09,UDFCOWCC,UDFSQN41,UDFSQN54,UDFSQN92,UDFSQNI2,UDFSQNX3,UDFSQS01,UDFSQS36,UDFSQS45,UDFSQS62,WDFSQN92,WDFSQS45"
11;"UBASAJ03B";"BASE";1;"UBASAJ05"
8;"UGOANS40B";"CO";1;"UGOANS25"
12;"WDFSOB04K";"CO";5;"UDFSQN15,UDFSQN20,UDFSQN53,WDFSQN15,WDFSQN20"
7;"UGOANS11E";"CO";3;"UGOANS23,UGOANS27,UGOANS37"
14;"UROJIP12E";"CO";1;"UROJIP03"
10;"UDFSQN23F";"CO";8;"CDFSQNIA,KDFSQNIA,UDFSQN02,UDFSQN33,UDFSQN39,UDFSQNI6,UDFSQNIA,WDFSQNIA"
13;"UMTVAZ03A";"CO";1;"UMTVAZ33"
8;"UPBCRI05C";"NE";1;"UPBCRI04"
13;"URNMRO09E";"NE";1;"URNMRO17"
13;"UDFSQSC4B";"CO";12;"UDFSQS0B,UDFSQS1E,UDFSQS26,UDFSQS75,UDFSQS94,UDFSQSA2,UDFSQSA3,UDFSQSA5,UDFSQSA7,UDFSQSA8,UDFSQSD0,WDFSQS26"
13;"UPRCSC08C";"PRSC";1;"UPRCSC17"
9;"UDFSOB26F";"CO";2;"UDFSOB36,WDFSOB36"
7;"UDFSQSA5B";"CO";3;"UDFSQSA2,UDFSQSA3,UDFSQSD0"
14;"URNESO01I";"NE";1;"URNGOH01"
14;"UMGSJR01O";"MG";1;"UMGSJR04"
14;"UMSTLS09E";"CO";1;"UMSTLS03"
12;"UCEALD11O";"NE";3;"UCEAER15,UCEALD04,UCEALD24"
6;"UGOGNA51G";"CO";2;"UGOGNA56,WGOGNA56"
13;"UPEIPS13A";"NE";1;"WPEMDL12"
13;"UBACOW08A";"BASE";8;"UBAAMA38,UBAAMAI5,UBACAB10,UBACAB14,UBACAB26,UBACAB30,UBACOW07,UBACOW10"
10;"UGOACG49C";"CO";2;"UGOACG24,UGOACG36"
8;"UMGJTB011";"MG";1;"UMGJTB02"
14;"UDFTAG42J";"CO";4;"UDFGMA22,UDFTAG29,UDFTAG73,WDFTAG29"
8;"UPEPQE02B";"NE";1;"UPEPQE03"
8;"UGOACG32N";"CO";2;"UGOACG02,UGOACG18"
10;"UMSCPE0CA";"CO";1;"UMSCPE46"
11;"URNPTG11J";"NE";13;"URNALC01,URNALC04,URNALC05,URNALC08,URNALC13,URNLNV02,URNLNV16,URNPTB02,URNPTB06,URNPTB08,URNPTG02,WRNLNV16,WRNPTB06"
12;"UALJQO01A";"NE";1;"UALTNV02"
7;"USCCNI01C";"PRSC";1;"USCCNI02"
8;"UGOGON01B";"CO";1;"UGOCTL01"
11;"UCEPIC11I";"NE";2;"UCEBAE09,UCEPIC02"
12;"UDFSQS18K";"CO";1;"UDFGMA18"
13;"UGOGNA0NI";"CO";1;"UGOGNAI9"
7;"UPITER48C";"NE";2;"UPITER23,UPITER32"
10;"UBABAR05I";"BASE";34;"CBACENI6,UBABAR08,UBABAR11,UBABAR15,UBABAR18,UBABON01,UBABON14,UBABON25,UBABRO03,UBABRO04,UBABRO05,UBABRO09,UBABRO10,UBABRO12,UBACEN01,UBACEN02,UBACEN04,UBACEN05,UBACEN06,UBACEN07,UBACEN08,UBACEN10,UBACEN11,UBACEN12,UBACEN13,UBACEN14,UBACEN15,UBACEN16,UBACEN17,UBACEN19,UBACEN20,UBACEN22,UBACENI1,UBACENI2"
12;"UGOACG27I";"CO";10;"UGOABG02,UGOGNA0E,UGOGNA0J,UGOGNA0V,UGOGNA1Y,UGOGNA2B,UGOGNA74,UGOGNA80,UGOGNA81,UGOGNAC7"
8;"UDFSQS77B";"CO";5;"UDFSQS19,UDFSQS31,UDFSQS78,UDFSQS99,UDFSQSA0"
