"week";"cellname";"REGIONAL";"count";"covered_sites"
6;"UCEHZT04O";"NE";2;"UCEPJS13,UCEPJSR2"
6;"USCCUA14F";"PRSC";1;"USCCUA03"
12;"UACRBO20M";"CO";2;"UACRBO04,UACRBO16"
13;"UESCIT10J";"ES";1;"UESCIT01"
11;"WESVIT16K";"ES";1;"UESVIT36"
13;"UPRPNS06E";"PRSC";4;"UPRCBX02,UPRCBX07,UPRPNS01,UPRPNS05"
10;"UPITER75O";"NE";1;"UPITER20"
13;"UPECRU42B";"NE";6;"UPECRU02,UPECRU07,UPECRU15,UPECRU19,UPECRU38,UPECRU39"
13;"UPBVAR15B";"NE";2;"UPBVAR05,WPBVAR05"
12;"USCBNU27A";"PRSC";2;"USCBNU11,USCBNUI8"
11;"UDFSQSA6K";"CO";2;"UDFGMA04,UDFGMA19"
6;"UPEGUS02A";"NE";1;"UPEGUS03"
14;"UMGLGS022";"MG";1;"UMGCONR2"
12;"UMTAFL01F";"CO";1;"UMTAFL03"
9;"UPRLDA23R";"PRSC";3;"UPRLDA10,UPRLDA32,UPRLDA37"
11;"UPEIMC01C";"NE";2;"UPEITS02,UPEITS03"
14;"UGOACG30F";"CO";1;"UGOACG04"
10;"UMGBEL06J";"MG";2;"UMGBEL18,UMGBEL28"
8;"UMGDCA27J";"MG";2;"UMGBRT06,UMGBRT24"
12;"UPIPCZ05A";"NE";2;"UPIPCZ02,UPIPCZ03"
8;"UALUPS02I";"NE";3;"UALUPS01,UALUPS03,UALUPS12"
11;"UPEOUI02C";"NE";1;"UPEOUI03"
14;"UGOLZA26K";"CO";3;"UGOLZA02,UGOLZA11,UGOLZA14"
10;"UTOARN12A";"CO";1;"UTOARN18"
9;"UMGFTA29I";"MG";1;"UMGFTA12"
14;"UROPVO33F";"CO";3;"UROPVO22,UROPVO58,WROPVO22"
8;"UCEPIC02E";"NE";3;"UCEBAE05,UCEBAE08,UCEPIC08"
11;"UMGFTA051";"MG";4;"UMGFTA01,UMGFTA29,UMGFTAS2,UMGOUP18"
7;"UMGULA110";"MG";2;"UMGULA04,UMGULA27"
12;"USCTRO04J";"PRSC";1;"USCTROI1"
8;"UMGPTC04J";"MG";2;"UMGPTC01,UMGPTC05"
12;"UDFSQSD3A";"CO";2;"UDFSQS0C,UDFSQS17"
6;"UMGSLR021";"MG";2;"UMGSLR01,UMGSLR03"
7;"UDFSQS11F";"CO";1;"UDFSQSI2"
8;"UESVVE152";"ES";1;"UESVVE08"
13;"USCCCO08A";"PRSC";2;"USCCCO05,USCCCO06"
9;"UDFTAG42C";"CO";3;"UDFTAG28,UDFTAG38,WDFTAG28"
6;"USCRSL01J";"PRSC";2;"USCRSL04,USCRSL09"
6;"UMGDIV170";"MG";1;"UMGDIV22"
11;"UALAIR05K";"NE";2;"UALAIR01,UALAIR02"
11;"UESLIN013";"ES";2;"UESLIN12,WESLIN12"
7;"UMGFEA01K";"MG";1;"UMGFEA03"
12;"UGOACG21O";"CO";2;"UGOACG09,WGOACG09"
9;"UGOGNA49C";"CO";4;"UGOGNA19,UGOGNA50,UGOGNA69,UGOGNAI3"
14;"UESVVE262";"ES";5;"UESVVE04,UESVVE13,UESVVE23,UESVVE24,WESVVE04"
11;"URNPTB08A";"NE";2;"URNALC04,URNALC08"
10;"UESCAR11I";"ES";1;"UESCAR09"
8;"UPEABU02C";"NE";1;"UPEABU01"
9;"UDFGMA04C";"CO";2;"UDFTAG34,WDFTAG34"
11;"UMGULA272";"MG";2;"UMGULA01,UMGULA03"
13;"UPBCBD02A";"NE";1;"UPBCBD05"
7;"UBACAR36A";"BASE";2;"UBACAR29,UBACARR5"
8;"UMGULA092";"MG";2;"UMGULA08,UMGULA51"
6;"UGOANS22M";"CO";2;"UGOANS04,UGOANS25"
9;"UMGIPG042";"MG";1;"UMGIPG03"
10;"UGOACG36B";"CO";2;"UGOACG01,UGOACG24"
12;"UMGINH021";"MG";1;"UMGINH01"
8;"UCEBAE12C";"NE";1;"UCECUC08"
8;"UPITER36E";"NE";1;"UPITER55"
9;"UGOVPI14J";"CO";2;"UGOCDO02,UGOCDO03"
8;"UMGCONR21";"MG";3;"UMGLGS01,UMGLGS03,UMGLGS10"
9;"UALMHD01A";"NE";1;"UALMHD06"
10;"UMGCNO040";"MG";1;"UMGCNO05"
10;"UPEPTA06F";"NE";1;"UPEPTA03"
7;"UDFSOB28O";"CO";1;"UDFSOB50"
8;"UPITER11J";"NE";2;"UPITER48,UPITER84"
9;"UBACAB24E";"BASE";1;"UBACAJ08"
8;"UESGUP07N";"ES";3;"UESGUP01,UESGUP10,UESGUP11"
12;"UESCAR122";"ES";4;"UESSOLR1,UESVVE06,UESVVE08,UESVVE17"
9;"UDFSQN56F";"CO";16;"UDFSQN07,UDFSQN0A,UDFSQN0S,UDFSQN15,UDFSQN18,UDFSQN26,UDFSQN27,UDFSQN32,UDFSQN58,UDFSQN70,UDFSQN71,UDFSQN94,UDFSQN95,UDFSQN97,UDFSQS52,WDFSQN15"
6;"UGOGNA78B";"CO";3;"UGOACG03,UGOACG20,UGOACG25"
6;"UMGOBR04N";"MG";1;"UMGOBR06"
10;"UMGCAE02I";"MG";1;"UMGCAE01"
6;"UMTCBA48F";"CO";2;"UMTCBA21,UMTCBA69"
8;"UPITER55G";"NE";10;"UPITER08,UPITER10,UPITER11,UPITER23,UPITER34,UPITER40,UPITER48,UPITER59,UPITER75,UPITER94"
9;"UTOTAQ06J";"CO";2;"UTOTAQ02,UTOTAQ12"
6;"UPITER67E";"NE";2;"UPITER39,UPITER45"
9;"UDFSQS17E";"CO";2;"UDFSQS0C,UDFSQS0M"
7;"UALSMM01M";"NE";1;"UALSMM04"
6;"UDFSOB07E";"CO";6;"UDFSOB01,UDFSOB25,UDFSOB36,UDFSOB51,WDFSOB25,WDFSOB36"
10;"UMGSLZ02K";"MG";2;"UMGSLZ01,UMGSLZ09"
7;"UPESZC06G";"NE";2;"UPESZC05,UPESZC12"
11;"UMGFRU05J";"MG";1;"UMGFRU01"
13;"UPEPUI15E";"NE";1;"UPEPUI02"
8;"UGOANS02N";"CO";1;"UGOANS20"
11;"UPRCPPR1A";"PRSC";1;"UPRCPP02"
10;"UROPVO19A";"CO";1;"UROPVO48"
12;"UMSCPEA6A";"CO";3;"UMSCPE37,UMSCPE63,WMSCPE37"
11;"UDFTAG55A";"CO";2;"UDFTAG20,UDFTAG23"
11;"UDFSQS0JK";"CO";1;"UDFSQS16"
12;"UMGARG04N";"MG";1;"UMGARG03"
6;"URNMCI10B";"NE";1;"URNMCI01"
7;"UBAFSA09B";"BASE";3;"UBAFSA15,UBAFSA31,UBAFSA44"
9;"UGOGNA1LB";"CO";8;"UGOGNA0C,UGOGNA2Y,UGOGNA33,UGOGNA3Y,UGOGNA76,UGOGNA88,UGOGNAB7,WGOGNA33"
12;"UMGJZF12I";"MG";1;"UMGJZF54"
6;"UPRCPH20I";"PRSC";1;"UPRCPH14"
9;"UCEPJS12E";"NE";1;"UCEPJS02"
11;"UGOACG27C";"CO";1;"UGOACG59"
9;"UGOGNA3TA";"CO";3;"UGOGNA0N,UGOGNA91,UGOGNAI9"
11;"UGOANS08O";"CO";10;"UGOANS02,UGOANS16,UGOANS30,UGOANS34,UGOANS35,UGOANS48,UGOANS60,UGOANS63,UGOANS71,UGOANSR1"
6;"UGONGM02I";"CO";3;"UGONGM04,UGONGM06,UGONGM08"
9;"UMTVAZ15M";"CO";6;"UMTCBA07,UMTCBA17,UMTCBA85,UMTCBAA8,UMTCBAB0,UMTVAZ24"
13;"UMGDCA15M";"MG";2;"UMGOUP05,UMGOUP10"
13;"UPEJBO13A";"NE";2;"UPEIPS17,UPEIPS29"
12;"UBACAR25C";"BASE";1;"UBACARR4"
13;"UCEAER04N";"NE";1;"UCECEN06"
6;"UMGCTG222";"MG";2;"UMGCTG21,UMGCTG25"
11;"UGOGNA64G";"CO";15;"UGOGNA0G,UGOGNA0I,UGOGNA0P,UGOGNA13,UGOGNA14,UGOGNA1Y,UGOGNA36,UGOGNA3J,UGOGNA44,UGOGNA73,UGOGNA74,UGOGNAA2,UGOGNAC4,UGOGNAC7,UGOGNAI8"
9;"UPRCLG02C";"PRSC";1;"UPRCLG05"
9;"UPECAA11C";"NE";2;"UPECAA90,UPEPLH01"
7;"UMGBET131";"MG";7;"UMGBET18,UMGBET19,UMGBET44,UMGCTG16,UMGCTG18,UMGIBT05,UMGIBT06"
9;"UMGCTG36M";"MG";1;"UMGCTG29"
7;"WRNPTB10I";"NE";2;"URNPTB06,WRNPTB06"
9;"UMGIPG03I";"MG";1;"UMGIPG10"
14;"UPBCRI10B";"NE";1;"UPBCRI03"
10;"UCEAER04U";"NE";18;"UCEAER06,UCEAER13,UCEBAE07,UCEBAE09,UCEBAEI1,UCEPAR02,UCEPAR04,UCEPAR15,UCEPAR23,UCEPAR26,UCEPARI1,UCEPIC01,UCEPIC02,UCEPIC03,UCEPIC05,UCEPIC09,UCEPIC11,WCEPAR26"
10;"UBADSA08C";"BASE";1;"UBADSA09"
10;"UPESHD01C";"NE";1;"UPESHD02"
7;"UPRPGO21F";"PRSC";1;"UPRPGO16"
14;"UROVHA02K";"CO";1;"UROVHA01"
9;"UPRCPH23A";"PRSC";1;"UPRCPH19"
7;"UROPVO39G";"CO";1;"UROPVO40"
8;"UCEAER02A";"NE";1;"UCEAER10"
14;"UMGURAR12";"MG";1;"UMGURA02"
9;"UCEEDS02A";"NE";1;"UCEEDS06"
10;"UMTVAZ24J";"CO";2;"UMTCBAB0,UMTVAZ39"
12;"UBACAB28A";"BASE";1;"UBACAJ02"
14;"UGOLZA20E";"CO";1;"UGOCDO04"
11;"UMGPLA152";"MG";3;"UMGPLA07,UMGPLA09,UMGPLA11"
10;"UMGBDP041";"MG";1;"UMGBDP01"
8;"UPEPUI04K";"NE";1;"UPEPUI15"
12;"UMGBRT130";"MG";1;"UMGBRT15"
10;"UMTCBA43F";"CO";1;"UMTCBAB1"
9;"USCIAI03B";"PRSC";1;"USCIAI02"
14;"USCIAI07B";"PRSC";3;"USCIAI02,USCIAI03,USCIAI14"
8;"UDFTAG73M";"CO";6;"UDFTAG03,UDFTAG06,UDFTAG0D,UDFTAG24,UDFTAG42,UDFTAG69"
12;"UDFTAG76F";"CO";1;"UDFTAG55"
6;"UMGMCL082";"MG";2;"UMGMCL07,UMGMCL22"
11;"UPRTBG01E";"PRSC";1;"UPRTBG02"
14;"UGOGNA3EM";"CO";1;"UGOGNA0T"
9;"UGOGNA3AB";"CO";4;"UGOGNA0Z,UGOGNA16,UGOGNA17,UGOGNA1N"
14;"UDFTAG50E";"CO";20;"UDFTAG04,UDFTAG0B,UDFTAG15,UDFTAG17,UDFTAG27,UDFTAG45,UDFTAG47,UDFTAG48,UDFTAG57,UDFTAG67,UDFTAG70,UDFTAG71,UDFTAG72,UDFTAG88,UDFTAG95,UDFTAG96,UDFTAGA1,UDFTAGA6,UDFTAGA7,UDFTAGA9"
14;"UCESOL05O";"NE";1;"UCESOL20"
11;"UDFTAG36E";"CO";1;"UDFTAG87"
13;"UGORVD06I";"CO";2;"UGORVD17,UGORVD34"
13;"UPEBEZ02K";"NE";1;"UPEBEZ03"
7;"UALFAR47A";"NE";2;"UALFAR03,UALFAR12"
9;"UBACAJ04B";"BASE";1;"UBACAJ01"
10;"UMGGVD130";"MG";3;"UMGGVD08,UMGGVD09,UMGGVD11"
6;"UTOTAQ03J";"CO";2;"UTOTAQ01,UTOTAQ14"
6;"UMTCBA60C";"CO";13;"CMTCBAI4,KMTCBAI4,UMTCBA01,UMTCBA05,UMTCBA06,UMTCBA07,UMTCBA35,UMTCBA78,UMTCBA85,UMTCBAA9,UMTCBAI4,WMTCBA05,WMTCBAI4"
14;"UPBCGE06E";"NE";1;"UPBCGE12"
13;"UGOANS12M";"CO";3;"UGOANS07,UGOANS40,UGOANS58"
11;"UMTVAZ11F";"CO";1;"UMTVAZ12"
9;"UESSER122";"ES";2;"UESSER18,UESSER29"
7;"URNJOA02A";"NE";1;"URNJOA01"
12;"UESANC03M";"ES";1;"UESGUPR1"
13;"UMGSLZ032";"MG";1;"UMGSLZ08"
14;"UCEACA03E";"NE";2;"UCEACA01,UCEACA04"
13;"UCEBBBR1C";"NE";1;"UCEBBB01"
8;"UDFTAG42G";"CO";5;"UDFGMA30,UDFTAG28,UDFTAG38,UDFTAG50,WDFTAG28"
12;"UMSCPE66J";"CO";1;"UMSCPE05"
12;"UBALFS01A";"BASE";5;"UBALFS02,UBALFS11,UBALFS20,UBALFS24,UBALFS40"
13;"UDFTAGA1C";"CO";1;"UDFTAG70"
11;"UBATPT01C";"BASE";1;"UBATPT02"
10;"UGOTDA12F";"CO";2;"UGOTDA04,UGOTDA07"
11;"UDFGMA81M";"CO";2;"UDFGMA09,UDFSQS18"
12;"UPRPGO21C";"PRSC";4;"UPRPGO13,UPRPGO14,UPRPGO19,UPRPGO20"
7;"UPEGVT09N";"NE";1;"UPEGVT02"
14;"UMGSLG061";"MG";3;"UMGSLG05,UMGSLG07,UMGSLG10"
11;"UBALFS25C";"BASE";3;"UBAITA23,UBAITAI1,UBAITAI4"
11;"UGOGNA58A";"CO";1;"UGOGNAB0"
6;"UDFGMA13E";"CO";1;"UDFGMA37"
12;"URNNSF01O";"NE";1;"URNSII04"
14;"UGOGNA17J";"CO";2;"UGOGNA28,UGOGNA65"
8;"UPIPNA12J";"NE";2;"UPIPNA03,UPIPNA11"
6;"UMGNVL122";"MG";1;"UMGNVL10"
13;"UMTCBA23J";"CO";1;"UMTCBAA7"
10;"WDFSOB04K";"CO";5;"UDFSQN15,UDFSQN20,UDFSQN53,WDFSQN15,WDFSQN20"
13;"UPEIPJ11B";"NE";2;"UPEIPJ06,UPEIPJ09"
12;"UDFSQN23F";"CO";8;"CDFSQNIA,KDFSQNIA,UDFSQN02,UDFSQN33,UDFSQN39,UDFSQNI6,UDFSQNIA,WDFSQNIA"
9;"UPRFNB02K";"PRSC";1;"UPRFNB01"
13;"URNPNG14M";"NE";1;"URNPNG04"
11;"UALCAS08A";"NE";1;"UALCAS03"
8;"UGOACG19C";"CO";1;"UGOACG48"
7;"UMGARX01J";"MG";1;"UMGARX08"
7;"UTOPMJ04O";"CO";2;"UTOPMJ07,WTOPMJ07"
11;"UGOLZA20I";"CO";1;"UGOCDO04"
12;"UMGIUA040";"MG";1;"UMGIUA01"
14;"UGOGNA55B";"CO";1;"UGOGNA51"
13;"UMGFTA141";"MG";3;"UMGFTA04,UMGFTA09,UMGFTA18"
10;"UCEALD11O";"NE";3;"UCEAER15,UCEALD04,UCEALD24"
12;"UMSCPE0CA";"CO";1;"UMSCPE46"
8;"UMTLVR03J";"CO";1;"UMTLVR05"
12;"UGOACG49C";"CO";1;"UGOACG24"
10;"UALJQO01A";"NE";1;"UALTNV02"
6;"UPITER21C";"NE";3;"UPITER05,UPITER16,UPITER57"
14;"WDFSOB04J";"CO";3;"UDFSQN0S,UDFSQN32,UDFSQN94"
10;"UGOACG27I";"CO";14;"UGOABG02,UGOGNA0E,UGOGNA0I,UGOGNA0J,UGOGNA0V,UGOGNA1Y,UGOGNA2B,UGOGNA38,UGOGNA74,UGOGNA80,UGOGNA81,UGOGNAA2,UGOGNAC7,UGOGNAI8"
6;"UPECRU42E";"NE";7;"UPECRU01,UPECRU06,UPECRU11,UPECRU12,UPECRU16,UPECRU18,UPECRU22"
12;"UBABAR05I";"BASE";34;"CBACENI6,UBABAR08,UBABAR11,UBABAR15,UBABAR18,UBABON01,UBABON14,UBABON25,UBABRO03,UBABRO04,UBABRO05,UBABRO09,UBABRO10,UBABRO12,UBACEN01,UBACEN02,UBACEN04,UBACEN05,UBACEN06,UBACEN07,UBACEN08,UBACEN10,UBACEN11,UBACEN12,UBACEN13,UBACEN14,UBACEN15,UBACEN16,UBACEN17,UBACEN19,UBACEN20,UBACEN22,UBACENI1,UBACENI2"
10;"UDFSQS18K";"CO";1;"UDFGMA18"
7;"UCEPAC09C";"NE";1;"UCEPAC02"
11;"UMTCGI03F";"CO";1;"UMTCGI04"
9;"UPECRU29C";"NE";2;"UPECRU07,UPECRU39"
9;"UGOGNAD3A";"CO";4;"UGOGNA0D,UGOGNA35,UGOGNAD1,UGOGNAD7"
8;"UESSER253";"ES";2;"UESSER02,UESSER05"
13;"UMGSLZ07M";"MG";2;"UMGSLZ01,UMGSLZ09"
12;"UMGCTG37J";"MG";2;"UMGOUP07,UMGOUP09"
9;"UPEOLD15C";"NE";1;"UPEEPH01"
7;"UGOGNA0UC";"CO";3;"UGOGNA2C,UGOTDA03,UGOTDA08"
10;"UPBCGE24B";"NE";2;"UPBCGE07,UPBCGEI1"
14;"UPEPTA05I";"NE";1;"UPEPTA01"
6;"UCESOL05B";"NE";1;"UCESOL20"
13;"UDFSQSB5A";"CO";137;"CDFSQNIA,KDFSQNIA,UDFCOW02,UDFCOW04,UDFCOW06,UDFCOW07,UDFCOW08,UDFCOW09,UDFCOWCC,UDFSQN01,UDFSQN02,UDFSQN03,UDFSQN04,UDFSQN05,UDFSQN06,UDFSQN08,UDFSQN0A,UDFSQN0H,UDFSQN10,UDFSQN11,UDFSQN12,UDFSQN13,UDFSQN14,UDFSQN15,UDFSQN16,UDFSQN19,UDFSQN20,UDFSQN22,UDFSQN23,UDFSQN24,UDFSQN25,UDFSQN26,UDFSQN28,UDFSQN31,UDFSQN33,UDFSQN39,UDFSQN40,UDFSQN41,UDFSQN42,UDFSQN43,UDFSQN44,UDFSQN45,UDFSQN46,UDFSQN47,UDFSQN54,UDFSQN56,UDFSQN92,UDFSQN97,UDFSQN98,UDFSQNI2,UDFSQNI3,UDFSQNI4,UDFSQNI6,UDFSQNI7,UDFSQNI8,UDFSQNIA,UDFSQNX3,UDFSQS01,UDFSQS02,UDFSQS03,UDFSQS04,UDFSQS08,UDFSQS0A,UDFSQS0F,UDFSQS0S,UDFSQS0T,UDFSQS10,UDFSQS19,UDFSQS23,UDFSQS24,UDFSQS25,UDFSQS28,UDFSQS29,UDFSQS31,UDFSQS32,UDFSQS34,UDFSQS36,UDFSQS39,UDFSQS41,UDFSQS42,UDFSQS43,UDFSQS45,UDFSQS49,UDFSQS51,UDFSQS54,UDFSQS57,UDFSQS58,UDFSQS59,UDFSQS62,UDFSQS64,UDFSQS69,UDFSQS77,UDFSQS78,UDFSQS79,UDFSQS80,UDFSQS82,UDFSQS84,UDFSQS87,UDFSQS89,UDFSQS90,UDFSQS93,UDFSQS95,UDFSQS96,UDFSQS97,UDFSQS98,UDFSQS99,UDFSQSA0,UDFSQSA4,UDFSQSB1,UDFSQSB3,UDFSQSB4,UDFSQSB8,UDFSQSB9,UDFSQSI3,UDFSQSI4,UDFSQSI5,UDFSQSI6,UDFSQSI7,UDFSQSI8,UDFSQSI9,UDFSQSIC,UDFSQSID,UDFSQSIE,UDFSQSIH,UDFSQSIK,WDFSQN04,WDFSQN11,WDFSQN15,WDFSQN20,WDFSQN92,WDFSQNIA,WDFSQS02,WDFSQS24,WDFSQS45,WDFSQS69,WDFSQS87,WDFSQS97"
11;"UPRMGA37C";"PRSC";1;"UPRMGA29"
12;"UBACOM01B";"BASE";3;"UBACJA01,UBACJA02,UBACJA03"
11;"UMGPOA082";"MG";1;"UMGPOA05"
9;"UTOPMJ01E";"CO";1;"UTOPMJ05"
12;"UDFTAG33G";"CO";1;"UDFTAG74"
13;"UPITER37M";"NE";1;"UPITER64"
10;"UPILSR03C";"NE";3;"UPILSR01,UPILSR02,UPILSR04"
8;"UPITER75C";"NE";1;"UPITER20"
13;"UMGPAM28I";"MG";10;"UMGPAM07,UMGPAM08,UMGPAM27,UMGPAM30,UMGPAM34,UMGPLA02,UMGPLA04,UMGPLA05,UMGPLA10,UMGPLAI2"
14;"UPECBOR3K";"NE";2;"UPECBO01,UPECBO12"
14;"UPEGOI07K";"NE";1;"UPEGOI03"
7;"UGOGNAD3I";"CO";4;"UGOGNA0D,UGOGNA35,UGOGNAD1,UGOGNAD7"
14;"UGORVD21E";"CO";3;"UGORVD01,UGORVD10,UGORVD36"
6;"UDFSQN10A";"CO";2;"UDFSQN0H,UDFSQN43"
7;"UMGJZF531";"MG";1;"UMGJZF08"
10;"UDFSQSX2O";"CO";1;"UDFSQSX4"
14;"UPRPNS06G";"PRSC";1;"UPRPNS03"
6;"UBALFS01K";"BASE";5;"UBAITA04,UBAITA20,UBAITA23,UBAITAI4,UBALFS03"
12;"UGOGNA0OK";"CO";2;"UGOGNA3E,UGOGNAC0"
14;"UMGPAS031";"MG";1;"UMGPAS02"
11;"UMGVAR110";"MG";2;"UMGVAR01,UMGVAR02"
7;"UROJIP12I";"CO";2;"UROJIP03,UROJIP10"
11;"UMGMCL01N";"MG";1;"UMGMCL04"
7;"UMGPAM281";"MG";2;"UMGOUP14,UMGPAM01"
8;"UPRPGO11G";"PRSC";1;"UPRPGO09"
8;"UPIPCZ01J";"NE";1;"UPIPCZ05"
12;"UPRCCJ07B";"PRSC";1;"UPRCCJ31"
6;"UMGSLZ07O";"MG";1;"UMGSLZ08"
6;"UPRCSC11B";"PRSC";2;"UPRCSC12,UPRCSC34"
9;"UGOGNA91C";"CO";2;"UGOGNA0N,UGOGNAI9"
6;"UGOACG15E";"CO";1;"UGOACG20"
14;"UCEAER02O";"NE";1;"UCEAER11"
6;"UPBPMU01O";"NE";1;"UPBCPX01"
10;"UGORVD22C";"CO";5;"UGORVD04,UGORVD09,UGORVD13,UGORVD15,UGORVD35"
13;"UALJPG01I";"NE";2;"UALMGI01,UALMGI02"
11;"UCEAER11A";"NE";1;"UCEAER02"
12;"UPRCSF45B";"PRSC";2;"UPRCCJ04,UPRCCJ27"
6;"UDFGMA39G";"CO";2;"UDFGMA12,UDFGMA15"
12;"UPBSRI02B";"NE";13;"UPBCRI01,UPBCRI04,UPBCRI05,UPBCRI07,UPBCRI09,UPBCRI11,UPBCRI12,UPBCRI13,UPBCRI26,WPBCRI01,WPBCRI05,WPBCRI11,WPBCRI26"
6;"UBAFSA48C";"BASE";1;"UBAFSA10"
14;"UGOGNA02E";"CO";13;"UGOGNA06,UGOGNA0Z,UGOGNA16,UGOGNA17,UGOGNA1N,UGOGNA2S,UGOGNA3A,UGOGNA72,UGOGNA75,UGOGNA83,UGOGNAA6,UGOGNAB9,UGOGNAI2"
14;"UROJIP02E";"CO";1;"UROJIP07"
6;"UPRCCJ10I";"PRSC";1;"UPRCBX07"
10;"UGOANS04I";"CO";2;"UGOANS12,UGOANS25"
13;"UMTCCS07B";"CO";2;"UMTCCS03,UMTCCS06"
14;"UCEEDS16B";"NE";2;"UCEESB05,UCEMES03"
8;"UGOGNAC7B";"CO";1;"UGOGNA3J"
10;"UROPVO42N";"CO";5;"UROPVO11,UROPVO23,UROPVO26,UROPVO60,WROPVO23"
12;"UBAIBU05C";"BASE";1;"UBAIBU12"
13;"UGOACG16O";"CO";1;"UGOACG30"
8;"UDFSQN18K";"CO";5;"UDFSQN26,UDFSQNI3,UDFSQNI8,UDFSQS13,UDFSQS46"
9;"UGOSCQ08I";"CO";7;"UGOSCQ01,UGOSCQ02,UGOSCQ03,UGOSCQ05,UGOSCQ06,UGOSCQ10,WGOSCQ01"
11;"UMSCPE92G";"CO";2;"UMSCPE11,UMSCPE82"
7;"UPITER21G";"NE";3;"UPITER05,UPITER16,UPITER57"
12;"UGORVD06M";"CO";2;"UGORVD17,UGORVD34"
13;"UMTSSZ04G";"CO";1;"UMTSSZ02"
6;"UGOLZA01O";"CO";1;"UGOLZA18"
9;"UPBTAB20B";"NE";2;"UPBTAB07,WPBTAB07"
8;"UMGCTG260";"MG";1;"UMGCTG27"
9;"UBAITA32C";"BASE";4;"UBACAJ06,UBAITA22,UBAITA28,UBAITAI2"
14;"USCSFS01B";"PRSC";1;"USCSFS02"
8;"UMGITO02I";"MG";1;"UMGITO01"
7;"UGOGNA2DM";"CO";1;"UGOGNAD1"
14;"UTOARN17C";"CO";4;"UTOARN03,UTOARN12,UTOARN18,UTOARN26"
13;"UGOJTI02C";"CO";1;"UGOJTI03"
12;"UMGCMD01O";"MG";1;"UMGCMD03"
12;"UESSER051";"ES";1;"UESSER10"
9;"UGOSCQ02F";"CO";2;"UGOSCQ01,WGOSCQ01"
10;"UMTCBA52A";"CO";1;"UMTCBA40"
12;"UDFSQS65K";"CO";11;"UDFSQS0H,UDFSQS0K,UDFSQS0L,UDFSQS0Q,UDFSQS27,UDFSQS35,UDFSQS67,UDFSQS68,UDFSQS81,UDFSQSA6,UDFSQSD3"
7;"UPRCPP04J";"PRSC";1;"UPRCPP02"
9;"UBAFSA12B";"BASE";2;"UBAFSA11,UBAFSA22"
9;"UDFGMA82N";"CO";1;"UDFGMA23"
7;"UGOGNAC1K";"CO";1;"UGOGNA23"
6;"UPITER84F";"NE";10;"UPITER28,UPITER45,UPITER47,UPITER49,UPITER50,UPITER67,UPITER79,UPITER81,UPITER95,UPITERR2"
10;"URNPTG02G";"NE";5;"URNPTG04,URNPTG11,URNPTG13,WRNPTG04,WRNPTG05"
14;"UPITER81G";"NE";8;"UPITER07,UPITER15,UPITER22,UPITER37,UPITER38,UPITER49,UPITER64,UPITER77"
8;"URNSII04B";"NE";2;"URNSII01,URNSII02"
10;"UMGOBR04I";"MG";1;"UMGOBR01"
14;"UDFSQS96M";"CO";7;"UDFSQNI3,UDFSQNI8,UDFSQSI3,UDFSQSI4,UDFSQSIC,UDFSQSID,UDFSQSIE"
11;"UGOANS60M";"CO";16;"UGOANS01,UGOANS02,UGOANS06,UGOANS11,UGOANS20,UGOANS21,UGOANS24,UGOANS27,UGOANS31,UGOANS42,UGOANS48,UGOANS68,UGOANS74,UGOANS75,UGOANS81,WGOANS11"
11;"UCEAQU02F";"NE";1;"UCEAQU01"
9;"URNMRO05K";"NE";2;"URNMRO03,URNMRO07"
12;"UDFSQS0PO";"CO";3;"UDFGMA08,UDFGMA18,UDFGMA81"
11;"UPITER64G";"NE";1;"UPITER02"
11;"UMTVAZ38E";"CO";1;"UMTVAZ29"
11;"UPBCRI12I";"NE";1;"UPBCRI07"
9;"UMGDCA04I";"MG";3;"UMGOUP02,UMGOUP13,UMGOUPI1"
8;"UMTCCS07C";"CO";1;"UMTCCS05"
8;"UCESOL21C";"NE";1;"UCESOL20"
9;"UESANC033";"ES";1;"UESANC05"
8;"WPEGUS02I";"NE";1;"UPEGUS03"
8;"UGOGNA55E";"CO";4;"UGOGNA18,UGOGNA2P,UGOGNA41,UGOGNA44"
13;"UBAITA09N";"BASE";2;"UBAITA11,UBAITA13"
7;"UALFAR38K";"NE";4;"UALFAR09,UALFAR22,UALFAR25,UALFAR28"
13;"UDFSQSA8B";"CO";4;"UDFSQS94,UDFSQSA2,UDFSQSA3,UDFSQSA5"
13;"UPEGOI02E";"NE";1;"UPEGOI04"
14;"UMGMOE01I";"MG";1;"UMGMOE02"
6;"UMGULA45I";"MG";1;"UMGULA44"
7;"UPECOW28A";"NE";17;"UPEBVT03,UPEBVT08,UPEBVT11,UPEBVT12,UPEBVT14,UPEBVT28,UPEBVT32,UPECOW06,UPECOW09,UPECOW24,UPECOW25,UPECOW27,UPEEPHI1,UPEEPHI3,UPEOLD02,UPEOLD06,UPEOLD17"
7;"UGOGNA3TM";"CO";3;"UGOGNA0N,UGOGNA91,UGOGNAI9"
8;"UMGCTG27J";"MG";1;"UMGCTG26"
8;"UPRMOS06A";"PRSC";4;"UPRMOS07,UPRPPR04,UPRPPR05,UPRPPR06"
6;"UPIPCZ01B";"NE";1;"UPIPCZ05"
11;"URNNSF01K";"NE";1;"URNSII04"
14;"UBALFS01C";"BASE";3;"UBAITA23,UBAITAI4,UBALFS03"
12;"UCEPAR09J";"NE";3;"UCEPAR12,UCEPAR25,WCEPAR25"
